loan_limit,approv_in_adv,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,Secured_by,total_units,income,Credit_Score,co_applicant_credit_type,submission_of_application,LTV,Security_Type,Status,dtir1,GenderMale,GenderFemale,GenderJoint,loantype1,loantype2,loantype3,loanpurpose_p1,loanpurpose_p2,loanpurpose_p3,loanpurpose_p4,occupancytype_pr,occupancytype_ir,occupancytype_sr,credittype_equi,credittype_crif,credittype_cib,credittype_exp,age_<25,age_25-34,age_35-44,age_45-54,age_55-64,age_65-74,age_>74,RNorth,RCentral,RSouth,RNorth_East
1,0,0,0,1,206500,NA,NA,360,0,0,1,NA,0,1,1,4980,552,1,1,NA,1,1,18,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,466500,NA,NA,360,0,0,0,NA,0,1,1,0,765,1,1,NA,1,1,20,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,656500,NA,NA,360,0,0,0,NA,0,1,1,8640,880,1,1,NA,1,1,42,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,106500,NA,NA,240,0,0,1,NA,0,1,1,1680,880,1,1,NA,1,1,37,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,406500,NA,NA,360,0,0,0,NA,0,1,1,7560,768,1,0,NA,1,1,23,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,316500,NA,NA,360,0,0,0,NA,0,1,1,5640,571,1,1,NA,1,1,31,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,266500,NA,NA,360,0,0,0,NA,0,1,1,3840,529,1,0,NA,1,1,35,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,336500,NA,NA,360,0,0,0,NA,0,1,1,7200,572,1,1,NA,1,1,44,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,726500,NA,NA,360,0,0,0,NA,0,1,1,9660,896,1,0,NA,1,1,45,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,336500,NA,NA,360,0,1,0,NA,0,1,1,5100,719,1,0,NA,1,1,46,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,446500,NA,NA,324,0,1,0,NA,0,1,1,11400,850,1,0,NA,1,1,44,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,1,266500,NA,NA,180,0,0,0,NA,0,1,1,11160,635,1,1,NA,1,1,36,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,306500,NA,NA,360,1,0,0,NA,0,1,1,5040,723,1,1,NA,1,1,7,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,486500,NA,NA,360,0,0,0,NA,0,1,1,12660,605,1,0,NA,1,1,43,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,266500,NA,NA,360,0,0,0,NA,0,1,1,3540,692,1,1,NA,1,1,37,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,496500,NA,NA,360,0,0,0,NA,0,1,1,12360,544,1,0,NA,1,1,42,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,0,0,166500,NA,NA,144,0,0,0,NA,0,1,1,5760,585,1,1,NA,1,1,30,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,156500,NA,NA,360,0,0,0,NA,0,1,1,3960,727,1,1,NA,1,1,45,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,206500,NA,NA,180,0,0,0,NA,0,1,1,11640,857,1,1,NA,1,1,31,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,216500,NA,NA,360,1,0,0,NA,0,1,1,0,626,1,0,NA,1,1,30,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,0,0,256500,NA,NA,240,0,0,0,NA,0,1,1,6300,828,1,1,NA,1,1,54,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,226500,NA,NA,360,1,0,0,NA,0,1,1,3240,692,1,1,NA,1,1,42,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,326500,NA,NA,360,0,0,1,NA,0,1,1,15780,817,1,0,NA,1,1,23,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,1,96500,NA,NA,360,0,0,0,NA,0,1,1,5100,604,1,1,NA,1,1,28,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,306500,NA,NA,360,0,0,0,NA,0,1,1,3480,527,1,1,NA,1,1,49,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,256500,NA,NA,360,1,0,0,NA,0,1,1,4440,539,1,1,NA,1,1,46,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,376500,NA,NA,360,0,0,0,NA,0,1,1,6540,873,1,1,NA,1,1,36,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,116500,NA,NA,360,0,0,0,NA,0,1,1,1140,513,1,1,NA,1,1,35,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,276500,NA,NA,360,0,0,0,NA,0,1,1,11640,603,1,0,NA,1,1,45,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,0,0,0,136500,NA,NA,180,0,0,0,NA,0,1,1,2160,894,1,0,NA,1,1,9,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,496500,NA,NA,360,0,0,0,NA,0,1,1,4920,754,1,1,NA,1,1,31,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,486500,NA,NA,360,1,0,0,NA,0,1,1,7980,829,1,0,NA,1,1,48,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,366500,NA,NA,360,0,1,0,NA,0,1,1,4200,805,1,0,NA,1,1,41,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,126500,NA,NA,180,1,0,0,NA,0,1,1,3660,548,1,1,NA,1,1,28,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,1,126500,NA,NA,360,0,0,0,NA,0,1,1,3000,564,1,1,NA,1,1,45,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,586500,NA,NA,360,0,0,0,NA,0,1,1,8100,872,1,1,NA,1,1,50,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,106500,NA,NA,NA,1,0,0,NA,0,1,1,3420,824,1,1,NA,1,1,45,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,166500,NA,NA,360,0,0,0,NA,0,1,1,3420,514,1,1,NA,1,1,31,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,216500,NA,NA,180,1,0,0,NA,0,1,1,3900,729,1,1,NA,1,1,37,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,276500,NA,NA,360,0,0,0,NA,0,1,1,3600,724,1,1,NA,1,1,49,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,96500,NA,NA,360,0,0,0,NA,0,1,1,2040,728,1,1,NA,1,1,40,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,256500,NA,NA,360,0,0,1,NA,0,1,1,3060,671,1,1,NA,1,1,49,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,406500,NA,NA,240,0,0,0,NA,0,1,1,8100,683,1,1,NA,1,1,27,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,366500,NA,NA,360,1,0,0,NA,0,1,1,5220,665,1,0,NA,1,1,42,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,346500,NA,NA,360,0,0,0,NA,0,1,1,8880,552,1,1,NA,1,1,39,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,566500,NA,NA,360,0,0,0,NA,0,1,1,22680,511,1,1,NA,1,1,47,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,336500,NA,NA,360,0,0,0,NA,0,1,1,3780,797,1,0,NA,1,1,54,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,246500,NA,NA,360,0,0,1,NA,0,1,1,6480,546,1,1,NA,1,1,38,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,226500,NA,NA,360,0,0,0,NA,0,1,1,3360,892,1,1,NA,1,1,55,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,496500,NA,NA,360,0,0,0,NA,0,1,1,6600,856,1,0,NA,1,1,49,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0,0,0,186500,NA,NA,156,1,0,0,NA,0,1,1,2760,552,1,1,NA,1,1,8,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,136500,NA,NA,180,0,0,0,NA,0,1,1,3000,610,1,1,NA,1,1,30,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,696500,NA,NA,360,0,0,0,NA,0,1,1,11640,638,1,0,NA,1,1,31,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,476500,NA,NA,360,0,0,1,NA,0,1,1,7740,837,1,0,NA,1,1,12,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,286500,NA,NA,360,0,0,0,NA,0,1,1,4260,649,1,0,NA,1,1,49,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,126500,NA,NA,180,0,1,0,NA,0,1,1,1920,710,1,1,NA,1,1,25,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,206500,NA,NA,360,0,0,0,NA,0,1,1,3000,603,1,1,NA,1,1,34,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,306500,NA,NA,360,1,0,0,NA,0,1,1,8040,660,1,1,NA,1,1,40,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,106500,NA,NA,360,0,0,0,NA,0,1,1,1080,739,1,1,NA,1,1,45,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,1,146500,NA,NA,360,1,0,0,NA,0,1,1,3060,550,1,1,NA,1,1,40,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,436500,NA,NA,360,0,0,0,NA,0,1,1,8760,753,1,1,NA,1,1,30,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,176500,NA,NA,360,0,0,0,NA,0,1,1,3300,530,1,1,NA,1,1,41,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,216500,NA,NA,360,0,0,0,NA,0,1,1,2700,835,1,1,NA,1,1,35,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,366500,NA,NA,360,0,0,1,NA,0,1,1,6180,779,1,1,NA,1,1,30,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,596500,NA,NA,360,0,0,0,NA,0,1,1,7500,685,1,0,NA,1,1,21,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,596500,NA,NA,360,0,0,0,NA,0,1,1,7140,805,1,0,NA,1,1,40,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,286500,NA,NA,360,1,0,0,NA,0,1,1,3000,867,1,1,NA,1,1,56,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,106500,NA,NA,360,0,0,0,NA,0,1,1,1440,601,1,1,NA,1,1,41,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,506500,NA,NA,360,0,0,0,NA,0,1,1,4680,780,1,0,NA,1,1,41,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,0,0,0,416500,NA,NA,360,0,0,0,NA,0,1,1,5700,515,1,0,NA,1,1,34,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,466500,NA,NA,360,1,0,0,NA,0,1,1,6060,615,1,0,NA,1,1,50,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,326500,NA,NA,360,0,1,0,NA,0,1,1,8820,588,1,0,NA,1,1,26,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,96500,NA,NA,360,1,0,0,NA,0,1,1,3600,564,1,1,NA,1,1,40,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,436500,NA,NA,360,0,0,0,NA,0,1,1,9660,687,1,0,NA,1,1,36,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,756500,NA,NA,360,0,0,0,NA,0,1,1,12000,862,1,1,NA,1,1,41,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,236500,NA,NA,360,1,0,0,NA,0,1,1,3720,784,1,0,NA,1,1,43,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,196500,NA,NA,360,0,0,0,NA,0,1,1,3180,504,1,1,NA,1,1,25,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,1,156500,NA,NA,360,0,0,0,NA,0,1,1,2460,564,1,1,NA,1,1,49,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,0,1186500,NA,NA,360,0,0,0,NA,0,1,4,75240,877,1,0,NA,1,1,12,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,196500,NA,NA,276,1,0,0,NA,0,1,1,4260,512,1,1,NA,1,1,48,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,416500,NA,NA,360,0,0,0,NA,0,1,1,5580,636,1,0,NA,1,1,44,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,126500,NA,NA,180,0,0,0,NA,0,1,1,7200,808,1,1,NA,1,1,36,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,166500,NA,NA,360,0,0,0,NA,0,1,1,5520,723,1,0,NA,1,1,27,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,366500,NA,NA,360,1,0,0,NA,0,1,1,7680,518,1,1,NA,1,1,47,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,266500,NA,NA,360,1,0,0,NA,0,1,1,6480,855,1,1,NA,1,1,43,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1,0,0,226500,NA,NA,360,0,0,0,NA,0,1,1,14100,764,1,1,NA,1,1,49,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,326500,NA,NA,180,0,0,0,NA,0,1,1,9060,802,1,1,NA,1,1,45,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,526500,NA,NA,360,0,0,0,NA,0,1,1,6900,642,1,0,NA,1,1,36,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,1,216500,NA,NA,360,0,0,0,NA,0,1,1,0,645,1,0,NA,1,1,48,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,536500,NA,NA,360,0,0,0,NA,0,1,1,7140,822,1,0,NA,1,1,21,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,0,0,406500,NA,NA,300,1,1,0,NA,0,1,1,5700,821,1,1,NA,1,1,43,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,106500,NA,NA,360,0,0,0,NA,0,1,1,2100,800,1,1,NA,1,1,31,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0,186500,NA,NA,300,1,0,0,NA,0,1,1,3000,697,1,0,NA,1,1,38,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,1,36500,NA,NA,360,1,0,0,NA,0,1,2,7020,836,1,1,NA,1,1,40,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,486500,NA,NA,360,0,0,0,NA,0,1,1,6960,775,1,0,NA,1,1,39,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
